trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
101,False,"{'a': 0.05, 'e': 0.13265546508012172}",25,14,7.8543634559033535,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.05, 'e': 0.1300287108784259}",20,11,14.974742521042764,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.05, 'e': 0.12745396989482075}",25,13,18.261069215032705,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.05, 'e': 0.12493021219858241}",20,0,-7.887494631020837,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
105,False,"{'a': 0.05, 'e': 0.1224564282529819}",25,15,20.434977563792682,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.05, 'e': 0.12003162851145673}",20,0,29.00519700240072,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
107,False,"{'a': 0.05, 'e': 0.11765484302177918}",35,18,17.05151517727195,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.05, 'e': 0.11532512103806251}",20,14,10.904524565040553,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.05, 'e': 0.11304153064044985}",25,8,6.5195528079385205,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.05, 'e': 0.11080315836233387}",20,16,7.389588025574327,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.05, 'e': 0.10860910882495796}",25,14,19.81042524620195,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.05, 'e': 0.1064585043792528}",25,7,-5.251848414628404,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
113,False,"{'a': 0.05, 'e': 0.104350484754765}",25,13,23.68681849014943,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.05, 'e': 0.10228420671553744}",20,0,21.778782179374748,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.05, 'e': 0.1002588437228037}",20,0,19.219328574300587,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
116,False,"{'a': 0.05, 'e': 0.09827358560436154}",25,14,15.352272365599598,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,13,12.54158143191049,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,6,22.42018153370781,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,13,21.139864916537547,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,13,14.562851845408172,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,11,17.4650305624661,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,8,31.744523111966107,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,5,22.566919577563425,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,13,14.575428152450083,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,14,10.124698038226638,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,8,30.805274915608365,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
